"Date(UTC)","UnixTimeStamp","Supply","MarketCap","Price"
"1/4/2021","1609718400","114119206.28125","119044.59122434875","1,043.16"
"1/5/2021","1609804800","114132806.96875","125910.1713198553125","1,103.19"
"1/6/2021","1609891200","114146323.09375","138184.3972740628125","1,210.59"
"1/7/2021","1609977600","114159678.46875","139902.685963453125","1,225.50"
"1/8/2021","1610064000","114173322.53125","138946.650054080625","1,216.98"
"1/9/2021","1610150400","114186758.71875","146154.48368965125","1,279.96"
"1/10/2021","1610236800","114200306.65625","143403.60907438625","1,255.72"
"1/11/2021","1610323200","114213878.84375","124306.9593171721875","1,088.37"
"1/12/2021","1610409600","114227479.40625","119943.42247573875","1,050.04"
"1/13/2021","1610496000","114241106.53125","129074.1718032675","1,129.84"
"1/14/2021","1610582400","114254463.59375","140774.0671384953125","1,232.11"
"1/15/2021","1610668800","114268106.46875","133586.272548356875","1,169.06"
"1/16/2021","1610755200","114281620.46875","140397.25637826875","1,228.52"
"1/17/2021","1610841600","114295115.59375","141009.3129614771875","1,233.73"
"1/18/2021","1610928000","114308657.53125","143835.7268581471875","1,258.31"
"1/19/2021","1611014400","114322222.90625","156352.7881577328125","1,367.65"
"1/20/2021","1611100800","114335834.34375","157526.1957671015625","1,377.75"
"1/21/2021","1611187200","114349295.40625","127098.0983510928125","1,111.49"
"1/22/2021","1611273600","114362789.84375","141187.7258295","1,234.56"
"1/23/2021","1611360000","114376348.53125","141151.851722415625","1,234.10"
"1/24/2021","1611446400","114389852.34375","159282.1498960546875","1,392.45"
"1/25/2021","1611532800","114403396.65625","150837.4463893659375","1,318.47"
"1/26/2021","1611619200","114416959.09375","156547.571771250625","1,368.22"
"1/27/2021","1611705600","114430348.78125","142066.4223154096875","1,241.51"
"1/28/2021","1611792000","114443903.90625","152299.658440359375","1,330.78"
"1/29/2021","1611878400","114457320.28125","157851.5241194803125","1,379.13"
"1/30/2021","1611964800","114470627.84375","157895.0605162765625","1,379.35"
"1/31/2021","1612051200","114484369.59375","150453.068832714375","1,314.18"
"2/1/2021","1612137600","114497889.53125","157385.3640129703125","1,374.57"
"2/2/2021","1612224000","114511429.03125","173358.852410409375","1,513.90"
"2/3/2021","1612310400","114524970.59375","190938.321473311875","1,667.22"
"2/4/2021","1612396800","114538582.09375","182968.51257984","1,597.44"
"2/5/2021","1612483200","114552015.59375","197199.00380432875","1,721.48"
"2/6/2021","1612569600","114565540.15625","192371.581097965625","1,679.14"
"2/7/2021","1612656000","114579188.15625","185004.1403646075","1,614.64"
"2/8/2021","1612742400","114592651.40625","200866.0208704734375","1,752.87"
"2/9/2021","1612828800","114606157.84375","203087.8420070171875","1,772.05"
"2/10/2021","1612915200","114619741.78125","199782.20992471875","1,743.00"
"2/11/2021","1613001600","114633273.15625","204928.7560886965625","1,787.69"
"2/12/2021","1613088000","114646840.28125","211505.07682446125","1,844.84"
"2/13/2021","1613174400","114660218.90625","208392.65465773125","1,817.48"
"2/14/2021","1613260800","114673850.03125","206752.3646523425","1,802.96"
